id_compra;nit_proveedor;codigo_producto;producto;fecha; costo_unitario ;cantidad
COM0027;800067895-0;10017;ACEITE USA1 X 70 CC;12-09-25; 1.200 ;100
COM0028;800190106-7;11059;AGUA STOP CAUCHO GRIVAL;04-05-25; 1.200 ;10
COM0029;800000000-2;11703;"ADAPTADOR MACHO DE 11/2"" PVC LEO";16-04-26; 1.200 ;20
COM0030;800095053-3;10051;ALAMBRE CENTELSA N 12 ROJO;09-03-25; 1.200 ;50
COM0031;800067895-0;10050;ALAMBRE CENTELSA N 12 NEGRO;05-01-25; 1.200 ;20
COM0032;800176527-8;11685;ACOPLE CAUCHO SUELTO LICUADORA OSTER;04-12-25; 1.200 ;50
COM0033;800067895-0;10003;ABRAZADERA TITAN 5/16A5/8 - 3/8  10-04;25-01-25; 1.200 ;10
COM0034;800122211-1;10038;ALAMBRE CENTELSA N  8 NEGRO;08-02-25; 1.200 ;10
COM0035;800190106-7;10046;ALAMBRE CENTELSA N 10 VERDE;20-04-25; 1.200 ;10
COM0036;800190106-7;10003;ABRAZADERA TITAN 5/16A5/8 - 3/8  10-04;30-05-25; 1.200 ;20
COM0037;800040737-0;12595;ADAPTADOR DE 1 EMT;19-02-26; 1.200 ;10
COM0038;800190106-7;10037;ALAMBRE CENTELSA N  8 BLANCO;21-02-26; 1.200 ;100
COM0039;800054316-5;10052;ALAMBRE CENTELSA N 12 VERDE;16-05-25; 1.200 ;10
COM0040;800190106-7;10039;ALAMBRE CENTELSA N  8 ROJO;01-11-25; 1.200 ;20
COM0041;800122211-1;10879;ADAPTADOR MACHO 1/2 X 16MM PE AL PE;06-03-26; 1.200 ;100
COM0042;800013579-1;10041;ALAMBRE CENTELSA N 10 AMARILLO;19-04-25; 1.200 ;50
COM0043;800162948-7;10063;ALICATE FOCCI 8,5 DSF-1684;11-11-25; 1.200 ;20
COM0044;800040737-0;10735;ADAPTADOR DE ESPIGO A ROSCA DE 1/2;29-12-25; 1.200 ;50
COM0045;800081474-6;11072;ACOPLE SANITARIO GRIVAL LARGO 55;20-10-25; 1.200 ;20
COM0046;800081474-6;10017;ACEITE USA1 X 70 CC;15-05-26; 1.200 ;20
COM0047;800162948-7;10015;ABRAZADERA TITAN 31/2A45/16 40-56;18-03-26; 1.200 ;20
COM0048;800108632-3;11697;"ADAPTADOR HEMBRA DE 1"" PVC LEO";03-10-25; 1.200 ;100
COM0049;800000000-2;10055;ALAMBRE CENTELSA N 14 BLANCO;28-02-26; 1.200 ;20
COM0050;800149369-2;10025;ACRONAL  DE 1/4;07-08-25; 1.200 ;10
COM0051;800067895-0;10035;ALAMBRE CENTELSA N  8 AMARILLO;13-08-25; 1.200 ;10
COM0052;800190106-7;11699;ADAPTADOR HEMBRA DE 3/4 PVC LEO;25-01-26; 1.200 ;100
COM0053;800040737-0;10049;ALAMBRE CENTELSA N 12 BLANCO;24-01-25; 1.200 ;20
COM0054;800027158-6;10004;ABRAZADERA TITAN 7/16A25/32 - 1/2 10-06;23-07-25; 1.200 ;10
COM0055;800162948-7;10036;ALAMBRE CENTELSA N  8 AZUL;03-12-25; 1.200 ;50
COM0056;800135790-2;10012;ABRAZADERA TITAN  2A2-3/8 40-36;16-02-26; 1.200 ;50
COM0057;800095053-3;11701;"ADAPTADOR MACHO DE 3/4"" PVC LEO";15-02-26; 1.200 ;10
COM0058;800176527-8;10027;AEROGRAFO F75 400 ML DSF-1499;15-02-26; 1.200 ;20
COM0059;800040737-0;10003;ABRAZADERA TITAN 5/16A5/8 - 3/8  10-04;29-11-25; 1.200 ;50
COM0060;800067895-0;10028;AEROGRAFO LAPICERO X 4 HOPEX PROFESI;15-03-26; 1.200 ;10
COM0061;800054316-5;11701;"ADAPTADOR MACHO DE 3/4"" PVC LEO";24-07-25; 1.200 ;20
COM0062;800190106-7;10037;ALAMBRE CENTELSA N  8 BLANCO;22-04-26; 1.200 ;20
COM0063;800040737-0;10057;ALAMBRE CENTELSA N 14 ROJO;02-02-25; 1.200 ;20
COM0064;800054316-5;10034;ALAMBRE PUA C16 X 400MT CORSAN;19-05-25; 1.200 ;50
COM0065;800095053-3;11702;"ADAPTADOR MACHO DE 1"" LEO";04-02-25; 1.200 ;10
COM0066;800054316-5;12596;ADAPTADOR DE 1/2 EMT;23-07-25; 1.200 ;10
COM0067;800081474-6;11700;"ADAPTADOR MACHO DE 1/2"" PVC LEO";15-06-25; 1.200 ;10
COM0068;800027158-6;10012;ABRAZADERA TITAN  2A2-3/8 40-36;26-07-25; 1.200 ;100
COM0069;800162948-7;10050;ALAMBRE CENTELSA N 12 NEGRO;25-01-25; 1.200 ;50
COM0070;800122211-1;10048;ALAMBRE CENTELSA N 12 AZUL;10-02-26; 1.200 ;50
COM0071;800122211-1;10038;ALAMBRE CENTELSA N  8 NEGRO;27-10-25; 1.200 ;20
COM0072;800040737-0;10059;ALCOHOL INDUSTRIAL X 500;27-09-25; 1.200 ;100
COM0073;800162948-7;11698;"ADAPTADOR HEMBRA  1/2"" LEO PRECION";24-11-25; 1.200 ;50
COM0074;800122211-1;10062;ALICATE 8 NARANJA DSF-6050;14-11-25; 1.200 ;10
COM0075;800095053-3;10987;AGUA STOP PINES SAPITO GERFOR 580051;09-04-26; 1.200 ;20
COM0076;800122211-1;10022;ACOPLE SANITARIO CARDENAS LARGO;24-02-25; 1.200 ;100
COM0077;800135790-2;11072;ACOPLE SANITARIO GRIVAL LARGO 55;16-02-25; 1.200 ;100
COM0078;800040737-0;10012;ABRAZADERA TITAN  2A2-3/8 40-36;18-01-26; 1.200 ;100
COM0079;800162948-7;11057;ACOPLE LAVAMANOS GRIVAL 40CMS;06-07-25; 1.200 ;100
COM0080;800081474-6;10053;ALAMBRE CENTELSA N 14 AMARILLO;23-02-25; 1.200 ;10
COM0081;800108632-3;10035;ALAMBRE CENTELSA N  8 AMARILLO;18-03-25; 1.200 ;100
COM0082;800000000-2;11071;ACOPLE LAVAMANOS GRIVAL LARGO 60;01-10-25; 1.200 ;10
COM0083;800149369-2;10027;AEROGRAFO F75 400 ML DSF-1499;24-03-25; 1.200 ;10
COM0084;800176527-8;10032;ALAMBRE PUA  C14 X 350MT CORSAN;23-01-26; 1.200 ;20
COM0085;800149369-2;10032;ALAMBRE PUA  C14 X 350MT CORSAN;25-03-26; 1.200 ;100
COM0086;800135790-2;10005;ABRAZADERA TITAN 1/2A3/4  40-06;07-01-26; 1.200 ;100
COM0087;800040737-0;10045;ALAMBRE CENTELSA N 10 ROJO;30-03-26; 1.200 ;100
COM0088;800122211-1;12240;ACOPLE PASTA SAMURAY ECONOMICO;06-01-25; 1.200 ;20
COM0089;800067895-0;10007;ABRAZADERA TITAN 29/32A1-3/8 40-16;21-10-25; 1.200 ;100
COM0090;800122211-1;11941;AGUA STOP AHORRADOR PLASTIG;24-03-25; 1.200 ;10
COM0091;800081474-6;11700;"ADAPTADOR MACHO DE 1/2"" PVC LEO";18-04-25; 1.200 ;10
COM0092;800067895-0;11943;AGUA STOP PLASTGRIFOS;13-02-25; 1.200 ;10
COM0093;800149369-2;10031;ALAMBRE PUA C 14 X 500MT;15-05-26; 1.200 ;10
COM0094;800108632-3;10007;ABRAZADERA TITAN 29/32A1-3/8 40-16;27-06-25; 1.200 ;100
COM0095;800149369-2;11060;AGUA STOP PASTA GRIVAL;02-11-25; 1.200 ;10
COM0096;800108632-3;10020;ACOPLE LAVAMANOS CARDENAS LARGO;16-10-25; 1.200 ;100
COM0097;800162948-7;10018;ACIDO CORRIENTE X 480;12-06-25; 1.200 ;20
COM0098;800000000-2;11943;AGUA STOP PLASTGRIFOS;20-11-25; 1.200 ;10
COM0099;800000000-2;11702;"ADAPTADOR MACHO DE 1"" LEO";02-07-25; 1.200 ;100
COM0100;800027158-6;10024;ACOPLE SANITARIO GRIPLAS;09-06-25; 1.200 ;100
COM0101;800176527-8;10012;ABRAZADERA TITAN  2A2-3/8 40-36;17-03-25; 1.200 ;20
COM0102;800135790-2;10041;ALAMBRE CENTELSA N 10 AMARILLO;06-12-25; 1.200 ;100
COM0103;800000000-2;10012;ABRAZADERA TITAN  2A2-3/8 40-36;04-09-25; 1.200 ;50
COM0104;800013579-1;10009;ABRAZADERA TITAN 11/8A17/8  40-24;20-04-26; 1.200 ;50
COM0105;800067895-0;10062;ALICATE 8 NARANJA DSF-6050;03-09-25; 1.200 ;100
COM0106;800135790-2;10042;ALAMBRE CENTELSA N 10 AZUL;14-05-26; 1.200 ;10
COM0107;800149369-2;10735;ADAPTADOR DE ESPIGO A ROSCA DE 1/2;23-05-25; 1.200 ;20
COM0108;800122211-1;10009;ABRAZADERA TITAN 11/8A17/8  40-24;09-01-25; 1.200 ;20
COM0109;800122211-1;11703;"ADAPTADOR MACHO DE 11/2"" PVC LEO";24-11-25; 1.200 ;50
COM0110;800095053-3;10001;ABRAZADERA 1/2 ECONOMICA;25-05-25; 1.200 ;20
COM0111;800000000-2;11942;AGUA STOP CAUCHO GRIPLAS;03-08-25; 1.200 ;20
COM0112;800162948-7;12242;ACOPLE SAMURAY PREMIER AMARILLO;27-04-26; 1.200 ;100
COM0113;800176527-8;10986;AGUA STOP ARGOLLA GERFOR 581140;29-04-25; 1.200 ;20
COM0114;800149369-2;12187;ACOPLE RAPIDO PISTOLA PINTAR;16-02-25; 1.200 ;20
COM0115;800081474-6;11701;"ADAPTADOR MACHO DE 3/4"" PVC LEO";21-10-25; 1.200 ;10
COM0116;800176527-8;10053;ALAMBRE CENTELSA N 14 AMARILLO;02-01-25; 1.200 ;20
COM0117;800135790-2;10021;ACOPLE LAVAMANOS GRIPLAS;06-03-25; 1.200 ;50
COM0118;800135790-2;10053;ALAMBRE CENTELSA N 14 AMARILLO;03-10-25; 1.200 ;100
COM0119;800095053-3;10042;ALAMBRE CENTELSA N 10 AZUL;28-03-25; 1.200 ;10
COM0120;800162948-7;11072;ACOPLE SANITARIO GRIVAL LARGO 55;15-09-25; 1.200 ;100
COM0121;800013579-1;11698;"ADAPTADOR HEMBRA  1/2"" LEO PRECION";27-04-25; 1.200 ;50
COM0122;800108632-3;10050;ALAMBRE CENTELSA N 12 NEGRO;05-07-25; 1.200 ;100
COM0123;800108632-3;10987;AGUA STOP PINES SAPITO GERFOR 580051;30-09-25; 1.200 ;20
COM0124;800122211-1;10056;ALAMBRE CENTELSA N 14 NEGRO;11-05-26; 1.200 ;100
COM0125;800040737-0;10058;ALAMBRE CENTELSA N 14 VERDE;03-05-26; 1.200 ;50
COM0126;800176527-8;10006;ABRAZADERA TITAN 3/4A1 40-12;10-05-25; 1.200 ;10
COM0127;800054316-5;10023;ACOPLE SANITARIO CORTO CARDENAS;21-01-26; 1.200 ;50
COM0128;800122211-1;10020;ACOPLE LAVAMANOS CARDENAS LARGO;16-01-26; 1.200 ;100
COM0129;800054316-5;10056;ALAMBRE CENTELSA N 14 NEGRO;15-12-25; 1.200 ;50
COM0130;800108632-3;10031;ALAMBRE PUA C 14 X 500MT;21-11-25; 1.200 ;20
COM0131;800095053-3;10009;ABRAZADERA TITAN 11/8A17/8  40-24;01-05-25; 1.200 ;20
COM0132;800176527-8;10020;ACOPLE LAVAMANOS CARDENAS LARGO;21-08-25; 1.200 ;10
COM0133;800162948-7;12240;ACOPLE PASTA SAMURAY ECONOMICO;13-08-25; 1.200 ;50
COM0134;800067895-0;11697;"ADAPTADOR HEMBRA DE 1"" PVC LEO";17-10-25; 1.200 ;50
COM0135;800122211-1;10048;ALAMBRE CENTELSA N 12 AZUL;10-07-25; 1.200 ;10
COM0136;800095053-3;10064;ALICATE STANLEY N 8 84-023;15-10-25; 1.200 ;50
COM0137;800095053-3;10016;ACEITE USA1 X 30 CC;06-03-26; 1.200 ;10
COM0138;800108632-3;11702;"ADAPTADOR MACHO DE 1"" LEO";27-05-25; 1.200 ;20
COM0139;800013579-1;10051;ALAMBRE CENTELSA N 12 ROJO;26-06-25; 1.200 ;20
COM0140;800095053-3;10016;ACEITE USA1 X 30 CC;18-03-26; 1.200 ;10
COM0141;800176527-8;11060;AGUA STOP PASTA GRIVAL;27-02-25; 1.200 ;50
COM0142;800000000-2;10878;ADAPTADOR HEMBRA 1/2 X 16MM PE AL PE;19-06-25; 1.200 ;10
COM0143;800081474-6;10038;ALAMBRE CENTELSA N  8 NEGRO;30-06-25; 1.200 ;10
COM0144;800162948-7;11703;"ADAPTADOR MACHO DE 11/2"" PVC LEO";05-02-26; 1.200 ;50
COM0145;800054316-5;11702;"ADAPTADOR MACHO DE 1"" LEO";16-03-25; 1.200 ;100
COM0146;800162948-7;11703;"ADAPTADOR MACHO DE 11/2"" PVC LEO";07-08-25; 1.200 ;100
COM0147;800054316-5;10061;ALICATE 6 NARANJA DSF-6049;13-05-25; 1.200 ;20
COM0148;800027158-6;11699;ADAPTADOR HEMBRA DE 3/4 PVC LEO;21-07-25; 1.200 ;20
COM0149;800122211-1;10061;ALICATE 6 NARANJA DSF-6049;22-12-25; 1.200 ;20
COM0150;800054316-5;11702;"ADAPTADOR MACHO DE 1"" LEO";13-02-25; 1.200 ;100
COM0151;800040737-0;11698;"ADAPTADOR HEMBRA  1/2"" LEO PRECION";10-09-25; 1.200 ;20
COM0152;800067895-0;11703;"ADAPTADOR MACHO DE 11/2"" PVC LEO";21-08-25; 1.200 ;20
COM0153;800054316-5;10043;ALAMBRE CENTELSA N 10 BLANCO;12-02-26; 1.200 ;50
COM0154;800149369-2;10084;AGUAMONIACO  FRASCO X 480;22-01-26; 1.200 ;20
COM0155;800149369-2;11059;AGUA STOP CAUCHO GRIVAL;30-03-26; 1.200 ;100
COM0156;800190106-7;10050;ALAMBRE CENTELSA N 12 NEGRO;20-11-25; 1.200 ;10
COM0157;800108632-3;10037;ALAMBRE CENTELSA N  8 BLANCO;21-03-26; 1.200 ;10
COM0158;800081474-6;10004;ABRAZADERA TITAN 7/16A25/32 - 1/2 10-06;26-10-25; 1.200 ;20
COM0159;800054316-5;10039;ALAMBRE CENTELSA N  8 ROJO;12-10-25; 1.200 ;10
COM0160;800013579-1;10054;ALAMBRE CENTELSA N 14 AZUL;25-12-25; 1.200 ;100
COM0161;800122211-1;10006;ABRAZADERA TITAN 3/4A1 40-12;25-08-25; 1.200 ;50
COM0162;800162948-7;12188;ACOPLE RAPIDO PISTOLA X 2 DORADO DSF-6035;27-07-25; 1.200 ;100
COM0163;800067895-0;12178;ACOPLE RAPIDO PISTOLA PINTAR JUEGO X 5;10-04-26; 1.200 ;50
COM0164;800149369-2;10041;ALAMBRE CENTELSA N 10 AMARILLO;01-01-25; 1.200 ;100
COM0165;800108632-3;10029;AEROGRAFO X 125 ML CHORRO DSF-1505 K3;15-09-25; 1.200 ;100
COM0166;800095053-3;10049;ALAMBRE CENTELSA N 12 BLANCO;04-12-25; 1.200 ;20
COM0167;800000000-2;10014;ABRAZADERA TITAN 2-3/8A3-1/8  40-44;03-04-26; 1.200 ;20
COM0168;800108632-3;10735;ADAPTADOR DE ESPIGO A ROSCA DE 1/2;12-02-25; 1.200 ;100
COM0169;800067895-0;11685;ACOPLE CAUCHO SUELTO LICUADORA OSTER;04-03-25; 1.200 ;20
COM0170;800162948-7;10041;ALAMBRE CENTELSA N 10 AMARILLO;28-03-26; 1.200 ;10
COM0171;800108632-3;11830;ALQUITRAN POR KILO;10-02-25; 1.200 ;100
COM0172;800040737-0;10009;ABRAZADERA TITAN 11/8A17/8  40-24;25-03-26; 1.200 ;10
COM0173;800054316-5;10046;ALAMBRE CENTELSA N 10 VERDE;08-04-25; 1.200 ;100
COM0174;800081474-6;11700;"ADAPTADOR MACHO DE 1/2"" PVC LEO";04-01-25; 1.200 ;100
COM0175;800135790-2;11685;ACOPLE CAUCHO SUELTO LICUADORA OSTER;16-12-25; 1.200 ;50
COM0176;800108632-3;10043;ALAMBRE CENTELSA N 10 BLANCO;13-05-26; 1.200 ;10
COM0177;800040737-0;11698;"ADAPTADOR HEMBRA  1/2"" LEO PRECION";22-07-25; 1.200 ;20
COM0178;800149369-2;10047;ALAMBRE CENTELSA N 12 AMARILLO;11-12-25; 1.200 ;50
COM0179;800067895-0;11060;AGUA STOP PASTA GRIVAL;13-03-26; 1.200 ;50
COM0180;800054316-5;12242;ACOPLE SAMURAY PREMIER AMARILLO;07-06-25; 1.200 ;10
COM0181;800149369-2;10034;ALAMBRE PUA C16 X 400MT CORSAN;20-01-26; 1.200 ;20
COM0182;800040737-0;11704;"ADAPTADOR MACHO DE 2"" PVC LEO";15-06-25; 1.200 ;100
COM0183;800067895-0;11700;"ADAPTADOR MACHO DE 1/2"" PVC LEO";27-01-26; 1.200 ;20
COM0184;800040737-0;10018;ACIDO CORRIENTE X 480;08-05-26; 1.200 ;10
COM0185;800162948-7;12242;ACOPLE SAMURAY PREMIER AMARILLO;30-10-25; 1.200 ;20
COM0186;800013579-1;10051;ALAMBRE CENTELSA N 12 ROJO;03-05-26; 1.200 ;20
COM0187;800162948-7;12597;ADAPTADOR DE 3/4 EMT;12-06-25; 1.200 ;20
COM0188;800000000-2;10007;ABRAZADERA TITAN 29/32A1-3/8 40-16;12-04-25; 1.200 ;100
COM0189;800122211-1;11830;ALQUITRAN POR KILO;06-11-25; 1.200 ;50
COM0190;800095053-3;10879;ADAPTADOR MACHO 1/2 X 16MM PE AL PE;18-09-25; 1.200 ;10
COM0191;800162948-7;10028;AEROGRAFO LAPICERO X 4 HOPEX PROFESI;20-01-26; 1.200 ;50
COM0192;800000000-2;10007;ABRAZADERA TITAN 29/32A1-3/8 40-16;20-01-25; 1.200 ;100
COM0193;800040737-0;10036;ALAMBRE CENTELSA N  8 AZUL;28-11-25; 1.200 ;50
COM0194;800176527-8;11697;"ADAPTADOR HEMBRA DE 1"" PVC LEO";23-12-25; 1.200 ;20
COM0195;800054316-5;10044;ALAMBRE CENTELSA N 10 NEGRO;20-04-25; 1.200 ;50
COM0196;800095053-3;10032;ALAMBRE PUA  C14 X 350MT CORSAN;27-01-25; 1.200 ;100
COM0197;800054316-5;10058;ALAMBRE CENTELSA N 14 VERDE;06-02-25; 1.200 ;50
COM0198;800095053-3;10013;ABRAZADERA TITAN 23/8A31/8  40-40;08-04-26; 1.200 ;20
COM0199;800108632-3;12241;ACOPLE SAMURAY CAUCHO ECONOMICO;11-05-26; 1.200 ;20
COM0200;800149369-2;10878;ADAPTADOR HEMBRA 1/2 X 16MM PE AL PE;15-01-26; 1.200 ;100
COM0201;800027158-6;10027;AEROGRAFO F75 400 ML DSF-1499;14-08-25; 1.200 ;10
COM0202;800067895-0;10042;ALAMBRE CENTELSA N 10 AZUL;13-01-25; 1.200 ;50
COM0203;800027158-6;12188;ACOPLE RAPIDO PISTOLA X 2 DORADO DSF-6035;25-05-25; 1.200 ;50
COM0204;800108632-3;10027;AEROGRAFO F75 400 ML DSF-1499;21-04-26; 1.200 ;20
COM0205;800027158-6;11701;"ADAPTADOR MACHO DE 3/4"" PVC LEO";26-01-26; 1.200 ;100
COM0206;800027158-6;10029;AEROGRAFO X 125 ML CHORRO DSF-1505 K3;26-01-25; 1.200 ;100
COM0207;800108632-3;11941;AGUA STOP AHORRADOR PLASTIG;04-02-25; 1.200 ;20
COM0208;800013579-1;10005;ABRAZADERA TITAN 1/2A3/4  40-06;05-03-25; 1.200 ;10
COM0209;800067895-0;12597;ADAPTADOR DE 3/4 EMT;17-08-25; 1.200 ;100
COM0210;800054316-5;10031;ALAMBRE PUA C 14 X 500MT;29-12-25; 1.200 ;20
COM0211;800040737-0;10020;ACOPLE LAVAMANOS CARDENAS LARGO;26-01-25; 1.200 ;50
COM0212;800081474-6;10057;ALAMBRE CENTELSA N 14 ROJO;10-06-25; 1.200 ;50
COM0213;800122211-1;10029;AEROGRAFO X 125 ML CHORRO DSF-1505 K3;18-10-25; 1.200 ;50
COM0214;800040737-0;12596;ADAPTADOR DE 1/2 EMT;27-01-25; 1.200 ;20
COM0215;800190106-7;10035;ALAMBRE CENTELSA N  8 AMARILLO;30-01-26; 1.200 ;100
COM0216;800149369-2;10049;ALAMBRE CENTELSA N 12 BLANCO;06-03-25; 1.200 ;100
COM0217;800067895-0;10878;ADAPTADOR HEMBRA 1/2 X 16MM PE AL PE;17-01-25; 1.200 ;100
COM0218;800190106-7;10004;ABRAZADERA TITAN 7/16A25/32 - 1/2 10-06;11-09-25; 1.200 ;100
COM0219;800135790-2;11703;"ADAPTADOR MACHO DE 11/2"" PVC LEO";07-03-25; 1.200 ;100
COM0220;800027158-6;10005;ABRAZADERA TITAN 1/2A3/4  40-06;29-06-25; 1.200 ;20
COM0221;800135790-2;10016;ACEITE USA1 X 30 CC;03-01-26; 1.200 ;20
COM0222;800122211-1;10064;ALICATE STANLEY N 8 84-023;06-04-26; 1.200 ;20
COM0223;800027158-6;10878;ADAPTADOR HEMBRA 1/2 X 16MM PE AL PE;18-11-25; 1.200 ;10
COM0224;800000000-2;10056;ALAMBRE CENTELSA N 14 NEGRO;15-04-25; 1.200 ;20
COM0225;800149369-2;10005;ABRAZADERA TITAN 1/2A3/4  40-06;31-01-26; 1.200 ;100
COM0226;800054316-5;12240;ACOPLE PASTA SAMURAY ECONOMICO;18-01-26; 1.200 ;10
COM0227;800000000-2;11942;AGUA STOP CAUCHO GRIPLAS;19-08-25; 1.200 ;20
COM0228;800081474-6;10008;ABRAZADERA TITAN 1A19/16 40-20;22-02-25; 1.200 ;100
COM0229;800095053-3;10031;ALAMBRE PUA C 14 X 500MT;30-06-25; 1.200 ;10
COM0230;800027158-6;10059;ALCOHOL INDUSTRIAL X 500;26-06-25; 1.200 ;50
COM0231;800013579-1;10003;ABRAZADERA TITAN 5/16A5/8 - 3/8  10-04;28-07-25; 1.200 ;50
COM0232;800054316-5;10031;ALAMBRE PUA C 14 X 500MT;11-08-25; 1.200 ;100
COM0233;800176527-8;10034;ALAMBRE PUA C16 X 400MT CORSAN;07-05-26; 1.200 ;100
COM0234;800108632-3;10014;ABRAZADERA TITAN 2-3/8A3-1/8  40-44;06-06-25; 1.200 ;100
COM0235;800176527-8;10023;ACOPLE SANITARIO CORTO CARDENAS;25-09-25; 1.200 ;50
COM0236;800135790-2;10055;ALAMBRE CENTELSA N 14 BLANCO;19-08-25; 1.200 ;50
COM0237;800122211-1;10014;ABRAZADERA TITAN 2-3/8A3-1/8  40-44;14-09-25; 1.200 ;10
COM0238;800013579-1;10041;ALAMBRE CENTELSA N 10 AMARILLO;13-01-26; 1.200 ;20
COM0239;800081474-6;10879;ADAPTADOR MACHO 1/2 X 16MM PE AL PE;08-05-25; 1.200 ;20
COM0240;800135790-2;12597;ADAPTADOR DE 3/4 EMT;18-03-25; 1.200 ;20
COM0241;800040737-0;10058;ALAMBRE CENTELSA N 14 VERDE;21-02-26; 1.200 ;10
COM0242;800190106-7;12596;ADAPTADOR DE 1/2 EMT;22-02-26; 1.200 ;50
COM0243;800108632-3;10032;ALAMBRE PUA  C14 X 350MT CORSAN;28-04-25; 1.200 ;50
COM0244;800013579-1;10023;ACOPLE SANITARIO CORTO CARDENAS;06-02-25; 1.200 ;100
COM0245;800054316-5;10015;ABRAZADERA TITAN 31/2A45/16 40-56;30-04-25; 1.200 ;50
COM0246;800122211-1;10005;ABRAZADERA TITAN 1/2A3/4  40-06;22-07-25; 1.200 ;100
COM0247;800108632-3;11943;AGUA STOP PLASTGRIFOS;11-12-25; 1.200 ;20
COM0248;800040737-0;12178;ACOPLE RAPIDO PISTOLA PINTAR JUEGO X 5;21-06-25; 1.200 ;50
COM0249;800013579-1;10005;ABRAZADERA TITAN 1/2A3/4  40-06;15-11-25; 1.200 ;10
COM0250;800176527-8;10059;ALCOHOL INDUSTRIAL X 500;23-01-26; 1.200 ;50
COM0251;800067895-0;10039;ALAMBRE CENTELSA N  8 ROJO;24-04-25; 1.200 ;10
COM0252;800067895-0;10053;ALAMBRE CENTELSA N 14 AMARILLO;16-12-25; 1.200 ;20
COM0253;800013579-1;10063;ALICATE FOCCI 8,5 DSF-1684;06-02-25; 1.200 ;50
COM0254;800054316-5;11941;AGUA STOP AHORRADOR PLASTIG;29-03-25; 1.200 ;50
COM0255;800067895-0;11058;ACOPLE SANITARIO GRIVAL 40 CMS;26-06-25; 1.200 ;50
COM0256;800013579-1;10018;ACIDO CORRIENTE X 480;23-02-26; 1.200 ;50
COM0257;800135790-2;10018;ACIDO CORRIENTE X 480;25-08-25; 1.200 ;20
COM0258;800122211-1;10019;ACOPLE LAVAMANO CORTO  CARDENAS;07-03-26; 1.200 ;50
COM0259;800040737-0;10059;ALCOHOL INDUSTRIAL X 500;04-04-26; 1.200 ;50
COM0260;800149369-2;11941;AGUA STOP AHORRADOR PLASTIG;09-01-26; 1.200 ;50
COM0261;800108632-3;11703;"ADAPTADOR MACHO DE 11/2"" PVC LEO";14-04-26; 1.200 ;50
COM0262;800135790-2;10018;ACIDO CORRIENTE X 480;15-06-25; 1.200 ;20
COM0263;800176527-8;11071;ACOPLE LAVAMANOS GRIVAL LARGO 60;28-03-26; 1.200 ;100
