id_producto;SKU;codigo_barras;Nombre;Marca;Categoria;Subcategoria;Unidad;IVA; Costo ; Precio ;Margen;Stock;stock_minimo;stock_maximo;Estado
10043;FERR-GEN-10043;7,71E+12;ALAMBRE CENTELSA N 10 BLANCO;Corona;General;Fijaciones;Unidades;19;1.200;2.000;4;45;10;500;Activo
10044;FERR-GEN-10044;7,71E+12;ALAMBRE CENTELSA N 10 NEGRO;Sika;General;Fijaciones;Unidades;19;1.200;2.000;1;76;10;500;Activo
10045;FERR-GEN-10045;7,71E+12;ALAMBRE CENTELSA N 10 ROJO;Pavco;General;Herramientas;Unidades;19;1.200;2.000;7;87;10;500;Activo
10046;FERR-GEN-10046;7,71E+12;ALAMBRE CENTELSA N 10 VERDE;Sika;General;Accesorios;Unidades;19;1.200;2.000;2;7;10;500;Activo
10047;FERR-GEN-10047;7,71E+12;ALAMBRE CENTELSA N 12 AMARILLO;TotalTools;General;Herramientas;Unidades;19;1.200;2.000;8;8;10;500;Activo
10048;FERR-GEN-10048;7,71E+12;ALAMBRE CENTELSA N 12 AZUL;Pavco;General;Accesorios;Unidades;19;1.200;2.000;1;8;10;500;Activo
10049;FERR-GEN-10049;7,71E+12;ALAMBRE CENTELSA N 12 BLANCO;Aceros Eje;General;Fijaciones;Unidades;19;1.200;2.000;7;76;10;500;Activo
10050;FERR-GEN-10050;7,71E+12;ALAMBRE CENTELSA N 12 NEGRO;Stanley;General;Fijaciones;Unidades;19;1.200;2.000;2;7;10;500;Activo
10051;FERR-GEN-10051;7,71E+12;ALAMBRE CENTELSA N 12 ROJO;Stanley;General;Accesorios;Unidades;19;1.200;2.000;7;34;10;500;Activo
10052;FERR-GEN-10052;7,71E+12;ALAMBRE CENTELSA N 12 VERDE;Stanley;General;Herramientas;Unidades;19;1.200;2.000;6;6;10;500;Activo
10053;FERR-GEN-10053;7,71E+12;ALAMBRE CENTELSA N 14 AMARILLO;Pavco;General;Herramientas;Unidades;19;1.200;2.000;6;76;10;500;Activo
10054;FERR-GEN-10054;7,71E+12;ALAMBRE CENTELSA N 14 AZUL;Pavco;General;Herramientas;Unidades;19;1.200;2.000;9;7;10;500;Activo
10055;FERR-GEN-10055;7,71E+12;ALAMBRE CENTELSA N 14 BLANCO;Corona;General;Accesorios;Unidades;19;1.200;2.000;1;8;10;500;Inactivo
10056;FERR-GEN-10056;7,71E+12;ALAMBRE CENTELSA N 14 NEGRO;Pintuco;General;Fijaciones;Unidades;19;1.200;2.000;7;8;10;500;Activo
10057;FERR-GEN-10057;7,71E+12;ALAMBRE CENTELSA N 14 ROJO;Sika;General;Accesorios;Unidades;19;1.200;2.000;1;76;10;500;Activo
10058;FERR-GEN-10058;7,71E+12;ALAMBRE CENTELSA N 14 VERDE;TotalTools;General;Herramientas;Unidades;19;1.200;2.000;7;76;10;500;Activo
10032;FERR-GEN-10032;7,71E+12;ALAMBRE PUA  C14 X 350MT CORSAN;Corona;General;Fijaciones;Unidades;19;1.200;2.000;1;65;10;500;Activo
10031;FERR-GEN-10031;7,71E+12;ALAMBRE PUA C 14 X 500MT;Stanley;General;Herramientas;Unidades;19;1.200;2.000;7;65;10;500;Activo
10033;FERR-GEN-10033;7,71E+12;ALAMBRE PUA C16 X 200MT CORSAN;Sika;General;Fijaciones;Unidades;19;1.200;2.000;1;7;10;500;Inactivo
10034;FERR-GEN-10034;7,71E+12;ALAMBRE PUA C16 X 400MT CORSAN;TotalTools;General;Accesorios;Unidades;19;1.200;2.000;1;45;10;500;Activo
10059;FERR-GEN-10059;7,71E+12;ALCOHOL INDUSTRIAL X 500;Sika;General;Herramientas;Unidades;19;1.200;2.000;6;6;10;500;Activo
10060;FERR-GEN-10060;7,71E+12;ALICATE  BICOLOR N 8;Pintuco;General;Fijaciones;Unidades;19;1.200;2.000;6;0;10;500;Activo
10061;FERR-GEN-10061;7,71E+12;ALICATE 6 NARANJA DSF-6049;Pavco;General;Fijaciones;Unidades;19;1.200;2.000;1;7;10;500;Activo
10062;FERR-GEN-10062;7,71E+12;ALICATE 8 NARANJA DSF-6050;TotalTools;General;Herramientas;Unidades;19;1.200;2.000;7;43;10;500;Activo
10063;FERR-GEN-10063;7,71E+12;ALICATE FOCCI 8,5 DSF-1684;Sika;General;Fijaciones;Unidades;19;1.200;2.000;6;8;10;500;Activo
10064;FERR-GEN-10064;7,71E+12;ALICATE STANLEY N 8 84-023;Corona;General;Herramientas;Unidades;19;1.200;2.000;8;6;10;500;Activo
11830;FERR-GEN-11830;7,71E+12;ALQUITRAN POR KILO;Pintuco;General;Herramientas;Unidades;19;1.200;2.000;1;43;10;500;Activo
