id_venta;id_cliente;codigo_producto;producto;vendedor;fecha;cantidad; precio_venta_unitario ;descuento; total_neto ; utilidad ;forma_pago
VEN00041;CLI229;10084;AGUAMONIACO  FRASCO X 480;Carlos Mario Hoyos;29/08/2025;3;3800;0;11400;7800;Tarjeta
VEN00042;CLI001;11058;ACOPLE SANITARIO GRIVAL 40 CMS;Diana Tobón;28/12/2025;1;2000;0;2000;800;Efectivo
VEN00043;CLI173;10056;ALAMBRE CENTELSA N 14 NEGRO;Andrés Cardona;24/11/2025;10;2000;0;20000;8000;Transferencia
VEN00044;CLI290;10033;ALAMBRE PUA C16 X 200MT CORSAN;Carlos Mario Hoyos;23/07/2025;2;2000;0;4000;1600;Tarjeta
VEN00045;CLI168;10053;ALAMBRE CENTELSA N 14 AMARILLO;Milena Restrepo;11/01/2026;5;2000;0;10000;4000;Efectivo
VEN00046;CLI034;10045;ALAMBRE CENTELSA N 10 ROJO;Milena Restrepo;15/01/2026;5;2000;0;10000;4000;Tarjeta
VEN00047;CLI170;10029;AEROGRAFO X 125 ML CHORRO DSF-1505 K3;Carlos Mario Hoyos;25/08/2025;5;2000;0;10000;4000;Tarjeta
VEN00048;CLI249;11704;"ADAPTADOR MACHO DE 2"" PVC LEO";Andrés Cardona;4/11/2025;1;2000;100;1900;700;Transferencia
VEN00049;CLI117;12177;AGUJAS PISTOLA PINTAR;Milena Restrepo;1/03/2025;1;2000;200;1800;600;Efectivo
VEN00050;CLI173;10046;ALAMBRE CENTELSA N 10 VERDE;Carlos Mario Hoyos;2/07/2025;10;2000;2000;18000;6000;Tarjeta
VEN00051;CLI033;11702;"ADAPTADOR MACHO DE 1"" LEO";Andrés Cardona;4/01/2026;10;2000;0;20000;8000;Efectivo
VEN00052;CLI172;10009;ABRAZADERA TITAN 11/8A17/8  40-24;Milena Restrepo;8/05/2026;3;2000;0;6000;2400;Tarjeta
VEN00053;CLI047;10035;ALAMBRE CENTELSA N  8 AMARILLO;Diana Tobón;24/10/2025;1;2000;0;2000;800;Tarjeta
VEN00054;CLI152;10059;ALCOHOL INDUSTRIAL X 500;Andrés Cardona;4/03/2025;5;2000;0;10000;4000;Tarjeta
VEN00055;CLI060;10011;ABRAZADERA TITAN 13/4A21/2  40-32;Milena Restrepo;4/02/2025;3;2000;0;6000;2400;Efectivo
VEN00056;CLI179;10013;ABRAZADERA TITAN 23/8A31/8  40-40;Milena Restrepo;9/05/2026;1;2000;0;2000;800;Tarjeta
VEN00057;CLI100;11943;AGUA STOP PLASTGRIFOS;Andrés Cardona;21/07/2025;10;2000;1000;19000;7000;Efectivo
VEN00058;CLI073;10013;ABRAZADERA TITAN 23/8A31/8  40-40;Milena Restrepo;26/06/2025;1;2000;0;2000;800;Transferencia
VEN00059;CLI171;11696;ADAPTADOR PVC ALARGE 1/2 X 3/8;Milena Restrepo;26/05/2025;5;2000;500;9500;3500;Transferencia
VEN00060;CLI163;10041;ALAMBRE CENTELSA N 10 AMARILLO;Diana Tobón;26/12/2025;2;2000;0;4000;1600;Transferencia
VEN00061;CLI279;12187;ACOPLE RAPIDO PISTOLA PINTAR;Carlos Mario Hoyos;26/05/2025;10;2000;0;20000;8000;Transferencia
VEN00062;CLI213;10049;ALAMBRE CENTELSA N 12 BLANCO;Andrés Cardona;24/02/2026;1;2000;200;1800;600;Tarjeta
VEN00063;CLI075;10031;ALAMBRE PUA C 14 X 500MT;Carlos Mario Hoyos;4/06/2025;1;2000;0;2000;800;Tarjeta
VEN00064;CLI296;11696;ADAPTADOR PVC ALARGE 1/2 X 3/8;Diana Tobón;16/06/2025;10;2000;0;20000;8000;Efectivo
VEN00065;CLI052;10012;ABRAZADERA TITAN  2A2-3/8 40-36;Carlos Mario Hoyos;20/03/2026;1;2000;0;2000;800;Efectivo
VEN00066;CLI287;12188;ACOPLE RAPIDO PISTOLA X 2 DORADO DSF-6035;Carlos Mario Hoyos;5/03/2025;5;2000;0;10000;4000;Efectivo
VEN00067;CLI181;10878;ADAPTADOR HEMBRA 1/2 X 16MM PE AL PE;Andrés Cardona;16/10/2025;3;10800;0;32400;28800;Transferencia
VEN00068;CLI171;12241;ACOPLE SAMURAY CAUCHO ECONOMICO;Carlos Mario Hoyos;25/02/2026;2;2000;0;4000;1600;Transferencia
VEN00069;CLI272;10022;ACOPLE SANITARIO CARDENAS LARGO;Andrés Cardona;13/01/2026;2;2000;0;4000;1600;Transferencia
VEN00070;CLI124;10048;ALAMBRE CENTELSA N 12 AZUL;Diana Tobón;27/01/2025;2;2000;0;4000;1600;Transferencia
VEN00071;CLI201;11942;AGUA STOP CAUCHO GRIPLAS;Andrés Cardona;4/04/2026;3;2000;0;6000;2400;Efectivo
VEN00072;CLI286;12187;ACOPLE RAPIDO PISTOLA PINTAR;Andrés Cardona;13/12/2025;5;2000;1000;9000;3000;Efectivo
VEN00073;CLI249;10035;ALAMBRE CENTELSA N  8 AMARILLO;Milena Restrepo;25/01/2025;10;2000;0;20000;8000;Efectivo
VEN00074;CLI110;12177;AGUJAS PISTOLA PINTAR;Milena Restrepo;2/11/2025;1;2000;0;2000;800;Efectivo
VEN00075;CLI226;10006;ABRAZADERA TITAN 3/4A1 40-12;Carlos Mario Hoyos;18/04/2025;2;2000;0;4000;1600;Transferencia
VEN00076;CLI127;10017;ACEITE USA1 X 70 CC;Andrés Cardona;11/04/2026;2;2000;0;4000;1600;Tarjeta
VEN00077;CLI149;10055;ALAMBRE CENTELSA N 14 BLANCO;Diana Tobón;28/03/2026;5;2000;0;10000;4000;Efectivo
VEN00078;CLI043;10878;ADAPTADOR HEMBRA 1/2 X 16MM PE AL PE;Andrés Cardona;21/10/2025;2;10800;0;21600;19200;Transferencia
VEN00079;CLI084;11699;ADAPTADOR HEMBRA DE 3/4 PVC LEO;Andrés Cardona;9/01/2026;5;2000;0;10000;4000;Transferencia
VEN00080;CLI042;10001;ABRAZADERA 1/2 ECONOMICA;Carlos Mario Hoyos;17/07/2025;10;2000;0;20000;8000;Transferencia
VEN00081;CLI277;11704;"ADAPTADOR MACHO DE 2"" PVC LEO";Andrés Cardona;23/10/2025;3;2000;0;6000;2400;Efectivo
VEN00082;CLI134;11697;"ADAPTADOR HEMBRA DE 1"" PVC LEO";Milena Restrepo;5/08/2025;10;2000;0;20000;8000;Efectivo
VEN00083;CLI234;11697;"ADAPTADOR HEMBRA DE 1"" PVC LEO";Diana Tobón;27/01/2026;2;2000;0;4000;1600;Tarjeta
VEN00084;CLI226;10010;ABRAZADERA TITAN 11/4A2 40-28;Carlos Mario Hoyos;15/01/2025;2;2000;0;4000;1600;Tarjeta
VEN00085;CLI168;12241;ACOPLE SAMURAY CAUCHO ECONOMICO;Milena Restrepo;13/09/2025;5;2000;0;10000;4000;Transferencia
VEN00086;CLI110;10735;ADAPTADOR DE ESPIGO A ROSCA DE 1/2;Carlos Mario Hoyos;18/03/2026;1;2000;0;2000;800;Transferencia
VEN00087;CLI046;11699;ADAPTADOR HEMBRA DE 3/4 PVC LEO;Andrés Cardona;13/04/2026;5;2000;0;10000;4000;Tarjeta
VEN00088;CLI240;10003;ABRAZADERA TITAN 5/16A5/8 - 3/8  10-04;Carlos Mario Hoyos;1/05/2025;2;2000;0;4000;1600;Tarjeta
VEN00089;CLI038;10001;ABRAZADERA 1/2 ECONOMICA;Milena Restrepo;25/05/2025;2;2000;0;4000;1600;Efectivo
VEN00090;CLI109;10003;ABRAZADERA TITAN 5/16A5/8 - 3/8  10-04;Carlos Mario Hoyos;17/08/2025;10;2000;0;20000;8000;Efectivo
VEN00091;CLI029;10041;ALAMBRE CENTELSA N 10 AMARILLO;Carlos Mario Hoyos;4/01/2025;1;2000;0;2000;800;Transferencia
VEN00092;CLI068;10015;ABRAZADERA TITAN 31/2A45/16 40-56;Carlos Mario Hoyos;31/01/2025;1;2000;0;2000;800;Tarjeta
VEN00093;CLI114;10007;ABRAZADERA TITAN 29/32A1-3/8 40-16;Diana Tobón;15/02/2025;3;2000;0;6000;2400;Efectivo
VEN00094;CLI066;10001;ABRAZADERA 1/2 ECONOMICA;Carlos Mario Hoyos;18/02/2025;1;2000;0;2000;800;Tarjeta
VEN00095;CLI006;10046;ALAMBRE CENTELSA N 10 VERDE;Carlos Mario Hoyos;12/05/2025;1;2000;100;1900;700;Tarjeta
VEN00096;CLI052;10038;ALAMBRE CENTELSA N  8 NEGRO;Milena Restrepo;11/11/2025;2;2000;400;3600;1200;Tarjeta
VEN00097;CLI064;10061;ALICATE 6 NARANJA DSF-6049;Milena Restrepo;27/12/2025;1;2000;0;2000;800;Transferencia
VEN00098;CLI141;10019;ACOPLE LAVAMANO CORTO  CARDENAS;Carlos Mario Hoyos;19/04/2026;2;2000;0;4000;1600;Transferencia
VEN00099;CLI111;10057;ALAMBRE CENTELSA N 14 ROJO;Diana Tobón;3/03/2026;2;2000;0;4000;1600;Efectivo
VEN00100;CLI179;11071;ACOPLE LAVAMANOS GRIVAL LARGO 60;Milena Restrepo;17/04/2026;10;2000;0;20000;8000;Tarjeta
VEN00101;CLI237;10057;ALAMBRE CENTELSA N 14 ROJO;Carlos Mario Hoyos;4/04/2026;1;2000;0;2000;800;Transferencia
VEN00102;CLI249;10004;ABRAZADERA TITAN 7/16A25/32 - 1/2 10-06;Andrés Cardona;9/05/2025;1;2000;0;2000;800;Efectivo
VEN00103;CLI007;11696;ADAPTADOR PVC ALARGE 1/2 X 3/8;Milena Restrepo;10/10/2025;10;2000;0;20000;8000;Transferencia
VEN00104;CLI236;10010;ABRAZADERA TITAN 11/4A2 40-28;Carlos Mario Hoyos;6/05/2026;3;2000;300;5700;2100;Transferencia
VEN00105;CLI289;11059;AGUA STOP CAUCHO GRIVAL;Carlos Mario Hoyos;28/01/2025;2;2000;0;4000;1600;Transferencia
VEN00106;CLI210;10058;ALAMBRE CENTELSA N 14 VERDE;Andrés Cardona;11/05/2026;5;2000;1000;9000;3000;Tarjeta
VEN00107;CLI118;10028;AEROGRAFO LAPICERO X 4 HOPEX PROFESI;Milena Restrepo;29/11/2025;10;2000;0;20000;8000;Transferencia
VEN00108;CLI263;10018;ACIDO CORRIENTE X 480;Carlos Mario Hoyos;22/04/2026;5;2000;0;10000;4000;Efectivo
VEN00109;CLI026;10009;ABRAZADERA TITAN 11/8A17/8  40-24;Diana Tobón;10/09/2025;10;2000;1000;19000;7000;Transferencia
VEN00110;CLI042;11698;"ADAPTADOR HEMBRA  1/2"" LEO PRECION";Andrés Cardona;9/05/2026;10;2000;0;20000;8000;Efectivo
VEN00111;CLI072;12242;ACOPLE SAMURAY PREMIER AMARILLO;Diana Tobón;1/06/2025;10;2000;0;20000;8000;Transferencia
VEN00112;CLI216;10879;ADAPTADOR MACHO 1/2 X 16MM PE AL PE;Andrés Cardona;24/03/2026;10;2000;1000;19000;7000;Transferencia
VEN00113;CLI216;12240;ACOPLE PASTA SAMURAY ECONOMICO;Milena Restrepo;16/01/2026;2;2000;0;4000;1600;Tarjeta
VEN00114;CLI272;10006;ABRAZADERA TITAN 3/4A1 40-12;Andrés Cardona;14/01/2025;3;2000;300;5700;2100;Efectivo
VEN00115;CLI182;11830;ALQUITRAN POR KILO;Carlos Mario Hoyos;29/07/2025;3;2000;0;6000;2400;Transferencia
VEN00116;CLI209;10057;ALAMBRE CENTELSA N 14 ROJO;Diana Tobón;20/02/2025;10;2000;0;20000;8000;Tarjeta
VEN00117;CLI266;10009;ABRAZADERA TITAN 11/8A17/8  40-24;Carlos Mario Hoyos;23/09/2025;2;2000;0;4000;1600;Efectivo
VEN00118;CLI246;10031;ALAMBRE PUA C 14 X 500MT;Diana Tobón;3/09/2025;3;2000;0;6000;2400;Efectivo
VEN00119;CLI294;11697;"ADAPTADOR HEMBRA DE 1"" PVC LEO";Milena Restrepo;4/02/2025;3;2000;0;6000;2400;Tarjeta
VEN00120;CLI001;10042;ALAMBRE CENTELSA N 10 AZUL;Diana Tobón;4/02/2025;10;2000;1000;19000;7000;Efectivo
VEN00121;CLI249;11941;AGUA STOP AHORRADOR PLASTIG;Carlos Mario Hoyos;11/06/2025;10;2000;0;20000;8000;Transferencia
VEN00122;CLI039;10004;ABRAZADERA TITAN 7/16A25/32 - 1/2 10-06;Carlos Mario Hoyos;12/05/2026;5;2000;0;10000;4000;Efectivo
VEN00123;CLI147;10058;ALAMBRE CENTELSA N 14 VERDE;Carlos Mario Hoyos;6/03/2026;3;2000;0;6000;2400;Efectivo
VEN00124;CLI222;11703;"ADAPTADOR MACHO DE 11/2"" PVC LEO";Andrés Cardona;18/11/2025;1;2000;0;2000;800;Efectivo
VEN00125;CLI006;10031;ALAMBRE PUA C 14 X 500MT;Carlos Mario Hoyos;21/02/2025;5;2000;0;10000;4000;Transferencia
VEN00126;CLI157;10037;ALAMBRE CENTELSA N  8 BLANCO;Milena Restrepo;9/04/2026;3;2000;600;5400;1800;Transferencia
VEN00127;CLI132;10041;ALAMBRE CENTELSA N 10 AMARILLO;Andrés Cardona;29/01/2025;1;2000;0;2000;800;Tarjeta
VEN00128;CLI145;10029;AEROGRAFO X 125 ML CHORRO DSF-1505 K3;Carlos Mario Hoyos;20/01/2025;3;2000;300;5700;2100;Efectivo
VEN00129;CLI197;11702;"ADAPTADOR MACHO DE 1"" LEO";Andrés Cardona;11/06/2025;10;2000;0;20000;8000;Transferencia
VEN00130;CLI070;10001;ABRAZADERA 1/2 ECONOMICA;Milena Restrepo;31/01/2026;5;2000;0;10000;4000;Tarjeta
VEN00131;CLI064;11701;"ADAPTADOR MACHO DE 3/4"" PVC LEO";Andrés Cardona;8/04/2026;10;2000;0;20000;8000;Transferencia
VEN00132;CLI152;10043;ALAMBRE CENTELSA N 10 BLANCO;Carlos Mario Hoyos;19/03/2025;10;2000;0;20000;8000;Efectivo
VEN00133;CLI079;10049;ALAMBRE CENTELSA N 12 BLANCO;Carlos Mario Hoyos;20/11/2025;1;2000;100;1900;700;Transferencia
VEN00134;CLI235;10058;ALAMBRE CENTELSA N 14 VERDE;Milena Restrepo;5/01/2026;3;2000;300;5700;2100;Efectivo
VEN00135;CLI014;10052;ALAMBRE CENTELSA N 12 VERDE;Diana Tobón;3/10/2025;5;2000;0;10000;4000;Transferencia
VEN00136;CLI250;10006;ABRAZADERA TITAN 3/4A1 40-12;Carlos Mario Hoyos;29/03/2026;10;2000;0;20000;8000;Efectivo
VEN00137;CLI109;12597;ADAPTADOR DE 3/4 EMT;Carlos Mario Hoyos;16/04/2026;5;2000;0;10000;4000;Tarjeta
VEN00138;CLI115;10048;ALAMBRE CENTELSA N 12 AZUL;Milena Restrepo;22/09/2025;10;2000;0;20000;8000;Efectivo
VEN00139;CLI264;10053;ALAMBRE CENTELSA N 14 AMARILLO;Milena Restrepo;23/10/2025;1;2000;100;1900;700;Transferencia
VEN00140;CLI156;12188;ACOPLE RAPIDO PISTOLA X 2 DORADO DSF-6035;Andrés Cardona;13/09/2025;3;2000;0;6000;2400;Transferencia
VEN00141;CLI234;10004;ABRAZADERA TITAN 7/16A25/32 - 1/2 10-06;Milena Restrepo;17/05/2025;1;2000;0;2000;800;Efectivo
VEN00142;CLI125;10986;AGUA STOP ARGOLLA GERFOR 581140;Diana Tobón;8/05/2025;3;2000;0;6000;2400;Transferencia
VEN00143;CLI063;10879;ADAPTADOR MACHO 1/2 X 16MM PE AL PE;Diana Tobón;5/12/2025;1;2000;0;2000;800;Transferencia
VEN00144;CLI223;11704;"ADAPTADOR MACHO DE 2"" PVC LEO";Andrés Cardona;26/04/2026;10;2000;1000;19000;7000;Tarjeta
VEN00145;CLI165;10987;AGUA STOP PINES SAPITO GERFOR 580051;Milena Restrepo;19/04/2025;1;2000;100;1900;700;Tarjeta
VEN00146;CLI144;11702;"ADAPTADOR MACHO DE 1"" LEO";Andrés Cardona;6/05/2025;5;2000;0;10000;4000;Transferencia
VEN00147;CLI035;10043;ALAMBRE CENTELSA N 10 BLANCO;Andrés Cardona;17/09/2025;2;2000;0;4000;1600;Tarjeta
VEN00148;CLI244;12187;ACOPLE RAPIDO PISTOLA PINTAR;Carlos Mario Hoyos;19/04/2026;10;2000;0;20000;8000;Transferencia
VEN00149;CLI026;10016;ACEITE USA1 X 30 CC;Milena Restrepo;30/03/2026;10;2000;0;20000;8000;Transferencia
VEN00150;CLI298;12242;ACOPLE SAMURAY PREMIER AMARILLO;Carlos Mario Hoyos;15/04/2026;5;2000;0;10000;4000;Efectivo
VEN00151;CLI017;10031;ALAMBRE PUA C 14 X 500MT;Andrés Cardona;2/05/2025;3;2000;0;6000;2400;Efectivo
VEN00152;CLI012;11071;ACOPLE LAVAMANOS GRIVAL LARGO 60;Diana Tobón;8/06/2025;3;2000;0;6000;2400;Tarjeta
VEN00153;CLI207;10055;ALAMBRE CENTELSA N 14 BLANCO;Andrés Cardona;15/12/2025;1;2000;0;2000;800;Efectivo
VEN00154;CLI187;10878;ADAPTADOR HEMBRA 1/2 X 16MM PE AL PE;Diana Tobón;14/03/2026;3;10800;0;32400;28800;Efectivo
VEN00155;CLI270;11941;AGUA STOP AHORRADOR PLASTIG;Andrés Cardona;12/02/2026;2;2000;0;4000;1600;Transferencia
VEN00156;CLI061;10050;ALAMBRE CENTELSA N 12 NEGRO;Diana Tobón;4/03/2026;10;2000;0;20000;8000;Transferencia
VEN00157;CLI120;10033;ALAMBRE PUA C16 X 200MT CORSAN;Diana Tobón;2/12/2025;10;2000;0;20000;8000;Tarjeta
VEN00158;CLI285;10003;ABRAZADERA TITAN 5/16A5/8 - 3/8  10-04;Diana Tobón;5/01/2026;2;2000;0;4000;1600;Efectivo
VEN00159;CLI202;10046;ALAMBRE CENTELSA N 10 VERDE;Milena Restrepo;24/01/2025;10;2000;0;20000;8000;Transferencia
VEN00160;CLI039;10986;AGUA STOP ARGOLLA GERFOR 581140;Andrés Cardona;4/12/2025;2;2000;0;4000;1600;Tarjeta
VEN00161;CLI169;10033;ALAMBRE PUA C16 X 200MT CORSAN;Milena Restrepo;11/08/2025;10;2000;0;20000;8000;Efectivo
VEN00162;CLI027;10006;ABRAZADERA TITAN 3/4A1 40-12;Carlos Mario Hoyos;18/02/2026;1;2000;0;2000;800;Efectivo
VEN00163;CLI182;12597;ADAPTADOR DE 3/4 EMT;Carlos Mario Hoyos;5/07/2025;5;2000;0;10000;4000;Efectivo
VEN00164;CLI107;11701;"ADAPTADOR MACHO DE 3/4"" PVC LEO";Andrés Cardona;22/10/2025;10;2000;0;20000;8000;Tarjeta
VEN00165;CLI013;10055;ALAMBRE CENTELSA N 14 BLANCO;Milena Restrepo;3/09/2025;5;2000;0;10000;4000;Transferencia
VEN00166;CLI121;11060;AGUA STOP PASTA GRIVAL;Carlos Mario Hoyos;22/03/2026;3;2000;0;6000;2400;Transferencia
VEN00167;CLI218;10024;ACOPLE SANITARIO GRIPLAS;Milena Restrepo;28/01/2025;1;2000;0;2000;800;Transferencia
VEN00168;CLI224;10030;AEROGRAFO X 150 ML ABANICO HOPEX F2;Carlos Mario Hoyos;21/01/2025;3;2000;0;6000;2400;Transferencia
VEN00169;CLI175;10046;ALAMBRE CENTELSA N 10 VERDE;Diana Tobón;8/03/2026;2;2000;200;3800;1400;Efectivo
VEN00170;CLI129;10034;ALAMBRE PUA C16 X 400MT CORSAN;Carlos Mario Hoyos;7/07/2025;10;2000;1000;19000;7000;Efectivo
VEN00171;CLI212;10012;ABRAZADERA TITAN  2A2-3/8 40-36;Milena Restrepo;15/05/2026;2;2000;0;4000;1600;Efectivo
VEN00172;CLI282;10059;ALCOHOL INDUSTRIAL X 500;Milena Restrepo;1/02/2026;2;2000;0;4000;1600;Efectivo
VEN00173;CLI152;10045;ALAMBRE CENTELSA N 10 ROJO;Milena Restrepo;18/04/2026;5;2000;500;9500;3500;Tarjeta
VEN00174;CLI065;11058;ACOPLE SANITARIO GRIVAL 40 CMS;Andrés Cardona;10/01/2025;2;2000;400;3600;1200;Efectivo
VEN00175;CLI045;10035;ALAMBRE CENTELSA N  8 AMARILLO;Carlos Mario Hoyos;24/02/2026;10;2000;0;20000;8000;Tarjeta
VEN00176;CLI226;12187;ACOPLE RAPIDO PISTOLA PINTAR;Andrés Cardona;5/07/2025;1;2000;0;2000;800;Tarjeta
VEN00177;CLI155;10015;ABRAZADERA TITAN 31/2A45/16 40-56;Carlos Mario Hoyos;15/10/2025;3;2000;300;5700;2100;Tarjeta
VEN00178;CLI270;10011;ABRAZADERA TITAN 13/4A21/2  40-32;Andrés Cardona;25/02/2025;5;2000;500;9500;3500;Tarjeta
VEN00179;CLI257;10013;ABRAZADERA TITAN 23/8A31/8  40-40;Andrés Cardona;9/03/2025;10;2000;0;20000;8000;Transferencia
VEN00180;CLI283;10036;ALAMBRE CENTELSA N  8 AZUL;Milena Restrepo;16/04/2025;1;2000;0;2000;800;Efectivo
VEN00181;CLI167;10036;ALAMBRE CENTELSA N  8 AZUL;Diana Tobón;10/12/2025;2;2000;0;4000;1600;Efectivo
VEN00182;CLI254;10056;ALAMBRE CENTELSA N 14 NEGRO;Andrés Cardona;20/11/2025;10;2000;2000;18000;6000;Efectivo
VEN00183;CLI005;10023;ACOPLE SANITARIO CORTO CARDENAS;Carlos Mario Hoyos;21/08/2025;2;2000;0;4000;1600;Efectivo
VEN00184;CLI132;10019;ACOPLE LAVAMANO CORTO  CARDENAS;Andrés Cardona;12/02/2025;10;2000;0;20000;8000;Tarjeta
VEN00185;CLI204;10058;ALAMBRE CENTELSA N 14 VERDE;Carlos Mario Hoyos;31/08/2025;2;2000;400;3600;1200;Tarjeta
VEN00186;CLI032;10030;AEROGRAFO X 150 ML ABANICO HOPEX F2;Andrés Cardona;10/08/2025;1;2000;100;1900;700;Efectivo
VEN00187;CLI275;10041;ALAMBRE CENTELSA N 10 AMARILLO;Milena Restrepo;3/06/2025;1;2000;200;1800;600;Tarjeta
